Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Hemiphaga chathamensis,Chatham Pigeon,"Columbidae (Pigeons, Doves)",VU,,
,Eurostopodus nigripennis,Solomons Nightjar,Caprimulgidae (Nightjars),VU,,
,Eurostopodus exul,New Caledonian Nightjar,Caprimulgidae (Nightjars),CR (PE),,
,Eleothreptus candicans,White-winged Nightjar,Caprimulgidae (Nightjars),VU,,
,Siphonorhis americana,Jamaican Poorwill,Caprimulgidae (Nightjars),CR (PE),,
,Siphonorhis brewsteri,Least Poorwill,Caprimulgidae (Nightjars),NT,,
,Antrostomus noctitherus,Puerto Rican Nightjar,Caprimulgidae (Nightjars),EN,,
,Caprimulgus phalaena,Palau Nightjar,Caprimulgidae (Nightjars),NT,,
,Aegotheles savesi,New Caledonian Owlet-nightjar,Aegothelidae (Owlet-nightjars),CR,,
,Aegotheles wallacii,Wallace's Owlet-nightjar,Aegothelidae (Owlet-nightjars),LC,,
,Aerodramus sawtelli,Atiu Swiftlet,Apodidae (Swifts),VU,,
,Aerodramus bartschi,Mariana Swiftlet,Apodidae (Swifts),EN,,
,Aerodramus elaphrus,Seychelles Swiftlet,Apodidae (Swifts),VU,,
,Sephanoides fernandensis,Juan Fernandez Firecrown,Trochilidae (Hummingbirds),CR,,
,Chlorostilbon elegans,Caribbean Emerald,Trochilidae (Hummingbirds),EX,,
,Cynanthus lawrencei,Tres Marias Hummingbird,Trochilidae (Hummingbirds),NT,,
,Eupherusa poliocerca,White-tailed Hummingbird,Trochilidae (Hummingbirds),VU,,
,Eulidia yarrellii,Chilean Woodstar,Trochilidae (Hummingbirds),CR,,
,Chaetocercus berlepschi,Esmeraldas Woodstar,Trochilidae (Hummingbirds),VU,,
,Coua delalandei,Snail-eating Coua,Cuculidae (Cuckoos),EX,,
,Centropus chlororhynchos,Green-billed Coucal,Cuculidae (Cuckoos),VU,,
,Coccyzus ferrugineus,Cocos Cuckoo,Cuculidae (Cuckoos),VU,,
,Coccyzus bahamensis,Bahama Lizard-cuckoo,Cuculidae (Cuckoos),NT,,
,Sarothrura elegans,Buff-spotted Flufftail,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Rallicula leucospila,White-striped Forest-rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Rallina canningi,Andaman Crake,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Laterallus tuerosi,Junin Rail,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Laterallus spilonota,Galapagos Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Laterallus rogersi,Inaccessible Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Rallus obsoletus,Ridgway's Rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
